energy,liveness,speechiness,danceability,valence,uri
0.42,0.11,0.0414,0.418,0.184,spotify:track:3Iw3nzrDdEuW4ypiZCgCtE
0.841,0.122,0.0838,0.494,0.567,spotify:track:4zjFqN9fXAw91GNgJOCYX6
0.761,0.062,0.0468,0.604,0.787,spotify:track:4T5cqerbDXueYSVfXkIITo
0.757,0.195,0.0597,0.803,0.623,spotify:track:5voKHxbIqgBU7fZMX8Lu0T
0.929,0.0567,0.109,0.573,0.582,spotify:track:24LS4lQShWyixJ0ZrJXfJ5
0.676,0.136,0.0371,0.278,0.494,spotify:track:6ooluO7DiEhI1zmK94nRCM
0.804,0.139,0.0355,0.719,0.605,spotify:track:55qBw1900pZKfXJ6Q9A2Lc
0.831,0.141,0.0429,0.528,0.632,spotify:track:1JdKrFyoU05abww0Zv0ayQ
0.327,0.108,0.0251,0.543,0.458,spotify:track:1WhZA4RG8dvmGKsCbLxw8x
0.655,0.0433,0.0609,0.947,0.787,spotify:track:4FgN8GK1r3qtZiBRTM5kKv
0.442,0.11,0.0243,0.557,0.213,spotify:track:75JFxkI2RXiU7L9VXzMkle
0.868,0.0987,0.0363,0.714,0.78,spotify:track:5zF2zGPkL6Ipsn9AfAK6RP
0.891,0.106,0.0623,0.459,0.588,spotify:track:18GC3F8YPGB8CePXcTUizQ
0.787,0.127,0.103,0.604,0.301,spotify:track:0TDLuuLlV54CkRRUOahJb4
0.49,0.136,0.0457,0.554,0.513,spotify:track:23NPGXlSaIqWzvxIRhM2oG
0.83,0.119,0.0432,0.686,0.575,spotify:track:0uRxBrnv51zUxq55y6yDzx
0.585,0.0797,0.0323,0.683,0.641,spotify:track:0It6VJoMAare1zdV2wxqZq
0.905,0.117,0.0775,0.602,0.411,spotify:track:4VqPOruhp5EdPBeR92t6lQ
0.617,0.109,0.0287,0.486,0.417,spotify:track:1mea3bSkSGXuIRvnydlB5b
0.783,0.161,0.0523,0.532,0.643,spotify:track:6g1NlCpW7fgqDnWbCCDrHl
0.814,0.0972,0.0314,0.546,0.146,spotify:track:3ZffCQKLFLUvYM59XKLbVm
0.893,0.149,0.139,0.411,0.513,spotify:track:2QiqwOVUctPRVggO9G1Zs5
0.497,0.259,0.119,0.692,0.475,spotify:track:4pbJqGIASGPr0ZpGpnWkDn
0.93,0.138,0.0324,0.623,0.287,spotify:track:18lR4BzEs7e3qzc0KVkTpU
0.74,0.258,0.363,0.515,0.765,spotify:track:2cgqvO5jXaLoAHLNCVT3Vz
0.874,0.108,0.186,0.35,0.416,spotify:track:5npqVYHjQeHFTE9iZBio6Q
0.787,0.58,0.401,0.714,0.131,spotify:track:4dfAUJI1QesmK5HfK9gtYs
0.388,0.0915,0.0309,0.512,0.167,spotify:track:3PUzmbzL24MPBROXK8Kh3u
0.661,0.234,0.0281,0.429,0.285,spotify:track:3AJwUDP919kvQ9QcozQPxg
